HGNC ID	Approved symbol	Alias symbol	Previous symbol
HGNC:5	A1BG		
HGNC:37133	A1BG-AS1	FLJ23569	NCRNA00181
HGNC:37133	A1BG-AS1	FLJ23569	A1BGAS
HGNC:37133	A1BG-AS1	FLJ23569	A1BG-AS
HGNC:24086	A1CF	ACF	
HGNC:24086	A1CF	ASP	
HGNC:24086	A1CF	ACF64	
HGNC:24086	A1CF	ACF65	
HGNC:24086	A1CF	APOBEC1CF	
HGNC:7	A2M	FWP007	
HGNC:7	A2M	S863-7	
HGNC:7	A2M	CPAMD5	
HGNC:27057	A2M-AS1		
HGNC:23336	A2ML1	FLJ25179	CPAMD9
HGNC:23336	A2ML1	p170	CPAMD9
HGNC:41022	A2ML1-AS1		
HGNC:41523	A2ML1-AS2		
HGNC:8	A2MP1		A2MP
HGNC:30005	A3GALT2	IGBS3S	A3GALT2P
HGNC:30005	A3GALT2	IGB3S	A3GALT2P
HGNC:18149	A4GALT	A14GALT	P1
HGNC:18149	A4GALT	Gb3S	P1
HGNC:18149	A4GALT	P(k)	P1
HGNC:17968	A4GNT	alpha4GnT	
HGNC:1	A12M1		
HGNC:2	A12M2		
HGNC:3	A12M3		
HGNC:4	A12M4		
HGNC:13666	AAAS		
HGNC:12	AABT		
HGNC:21298	AACS	FLJ12389	
HGNC:21298	AACS	SUR-5	
HGNC:21298	AACS	ACSF1	
HGNC:18226	AACSP1		AACSL
HGNC:17	AADAC	DAC	
HGNC:17	AADAC	CES5A1	
HGNC:24427	AADACL2	MGC72001	
HGNC:50301	AADACL2-AS1		
HGNC:32037	AADACL3	OTTHUMG00000001887	
HGNC:32038	AADACL4	OTTHUMG00000001889	
HGNC:50305	AADACP1		
HGNC:17929	AADAT	KATII	
HGNC:17929	AADAT	KAT2	
HGNC:17929	AADAT	KYAT2	
HGNC:25662	AAGAB	FLJ11506	
HGNC:25662	AAGAB	p34	
HGNC:19679	AAK1	KIAA1048	
HGNC:19679	AAK1	DKFZp686K16132	
HGNC:30205	AAMDC	PTD015	C11orf67
HGNC:30205	AAMDC	FLJ21035	C11orf67
HGNC:30205	AAMDC	CK067	C11orf67
HGNC:18	AAMP		
HGNC:19	AANAT	SNAT	
HGNC:15886	AAR2	bA234K24.2	C20orf4
HGNC:33842	AARD	LOC441376	C8orf85
HGNC:20	AARS	CMT2N	
HGNC:20	AARS	AlaRS	
HGNC:21022	AARS2	KIAA1270	AARSL
HGNC:21022	AARS2	bA444E17.1	AARSL
HGNC:28417	AARSD1	MGC2744	
