gene_id	gene	aliases	string	function	citation
84142	Abraxas	FAM175A, CCDC98, ABRA1, ABRAXIS1	Abraxas, FAM175A, CCDC98, ABRA1, ABRAXIS1	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
472	ATM		ATM	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
545	ATR	FRP1	ATR, FRP1	Promotes HR activity	https://www.cell.com/molecular-cell/abstract/S1097-2765(16)30845-0
580	BARD1		BARD1	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
672	BRCA1	FANCS	BRCA1, FANCS	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
675	BRCA2	FANCD1, FANCD, FACD	BRCA2, FANCD1, FANCD, FACD	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
79184	BRCC36	BRCC3, CXorf53, C6.1A	BRCC36, BRCC3, CXorf53, C6.1A	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
9577	BRE	BABAM2	BRE, BABAM2	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
83990	BRIP1	FANCJ, BACH1, BACH	BRIP1, FANCJ, BACH1, BACH	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
51755	CDK12	CRKRS, CRK7	CDK12, CRKRS, CRK7	Associated with tandem duplications	https://www.cell.com/cancer-cell/fulltext/S1535-6108(18)30265-4
1105	CHD1	PILBOS	CHD1, PILBOS	Opens chromatin around DSB	https://www.ncbi.nlm.nih.gov/pubmed/27596623
1111	CHEK1	CHK1	CHEK1, CHK1	Cell-cycle checkpoint	https://www.nature.com/articles/ncb1212
11200	CHEK2	CHK2	CHEK2, CHK2	DSB recognition	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4296918/
5932	CTIP	RBBP8, SAE2, RIM, SCKL2	CTIP, RBBP8, SAE2, RIM, SCKL2	DSB recognition	https://www.genome.jp/kegg-bin/show_pathway?map03440
11144	DMC1	DMC1H, LIM15	DMC1, DMC1H, LIM15	Filament formation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3401455/
7979	DSS1	SEM1, C7orf76, SHFM1	DSS1, SEM1, C7orf76, SHFM1	Filament formation	https://www.genome.jp/kegg-bin/show_pathway?map03440
146956	EME1	HMMS4, MMS4L, SLX2A, MMS4	EME1, HMMS4, MMS4L, SLX2A, MMS4	Holliday junction cleavage	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027171/
197342	EME2	SLX2B	EME2, SLX2B	Holliday junction cleavage	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027171/
80233	FAAP100	C17orf70	FAAP100, C17orf70	Fanconi core complex	https://www.genome.jp/dbget-bin/www_bget?map03460
91442	FAAP24	C19orf40	FAAP24, C19orf40	Fanconi core complex	https://www.genome.jp/dbget-bin/www_bget?map03460
22909	FAN1	KIAA1018, MTMR15, HFAN1	FAN1, KIAA1018, MTMR15, HFAN1	Fanconi	https://www.genome.jp/kegg-bin/show_pathway?map03440
2175	FANCA	FANCH, FACA, FAA	FANCA, FANCH, FACA, FAA	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
2187	FANCB	FAAP95	FANCB, FAAP95	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
2176	FANCC	FACC, FAC, FA3	FANCC, FACC, FAC, FA3	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
2177	FANCD2	FACD	FANCD2, FACD	Filament formation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
2178	FANCE	FACE, FAE	FANCE, FACE, FAE	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
2188	FANCF	FACF, FAF	FANCF, FACF, FAF	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
2189	FANCG	XRCC9	FANCG, XRCC9	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
55215	FANCI	FACI	FANCI, FACI	Fanconi nuclear foci formation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
55120	FANCL	PHF9	FANCL, PHF9	Fanconi	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
57697	FANCM	KIAA1596	FANCM, KIAA1596	Fanconi core complex	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
84464	FANCP	SLX4, BTBD12	FANCP, SLX4, BTBD12	Fanconi	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
2072	FANCQ	ERCC4, XPF	FANCQ, ERCC4, XPF	Fanconi	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
5888	FANCR	RAD51	FANCR, RAD51	Filament formation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4865030/
