ann	impact	score_arne	score	ann_s1	ann_s2	comment
frameshift_variant	HIGH	5	5	frameshift	frameshift	
rare_amino_acid_variant	HIGH	NA	5	rare_amino_acid_variant	rare_amino_acid_variant	likely crucial for protein function
transcript_ablation	HIGH	NA	5	transcript_ablation	transcript_ablation	probably due to CNV
chromosome_number_variation	HIGH	4	4	chromosome_number_variation	chromosome_number_variation	
exon_loss_variant	HIGH	4	4	exon_loss_variant	exon_loss_variant	
start_lost	HIGH	4	4	nonsense	nonsense	
stop_gained	HIGH	4	4	nonsense	nonsense	
stop_lost	HIGH	4	4	nonsense	nonsense	
splice_acceptor_variant	HIGH	4	4	essential_splice_variant	essential_splice_variant	
splice_donor_variant	HIGH	4	4	essential_splice_variant	essential_splice_variant	
missense_variant	MODERATE	1.5	3	missense	missense	changed to match VUS score
coding_sequence_variant	MODERATE	NA	3	coding_sequence_variant	coding_sequence_variant	similar to missense_variant
disruptive_inframe_deletion	MODERATE	2.5	3	frameshift_inframe_disruptive	frameshift_inframe_disruptive	rounding
disruptive_inframe_insertion	MODERATE	2.5	3	frameshift_inframe_disruptive	frameshift_inframe_disruptive	rounding
splice_region_variant	MODERATE	1.1	2	splice_region_variant	splice_region_variant	rounding
3_prime_UTR_truncation	MODERATE	NA	2	UTR_truncation	UTR_truncation	similar to 5_prime_UTR_premature_start_codon_gain_variant
5_prime_UTR_truncation	MODERATE	NA	2	UTR_truncation	UTR_truncation	similar to 5_prime_UTR_premature_start_codon_gain_variant
conservative_inframe_insertion	MODERATE	NA	2	frameshift_inframe	frameshift_inframe	similar to conservative_inframe_insertion
conservative_inframe_deletion	MODERATE	1.5	2	frameshift_inframe	frameshift_inframe	
inframe_insertion	MODERATE	NA	2	frameshift_inframe	frameshift_inframe	
inframe_deletion	MODERATE	NA	2	frameshift_inframe	frameshift_inframe	
regulatory_region_ablation	MODERATE	NA	2	regulatory_ablation	regulatory_ablation	similar to TF_binding_site_variant
TFBS_ablation	MODERATE	NA	2	regulatory_ablation	regulatory_ablation	similar to TF_binding_site_variant
5_prime_UTR_premature_start_codon_gain_variant	LOW	3	1	UTR_variant	low_or_modifier	
3_prime_UTR_variant	MODIFIER	0.5	1	UTR_variant	low_or_modifier	rounding
5_prime_UTR_variant	MODIFIER	0.5	1	UTR_variant	low_or_modifier	rounding
initiator_codon_variant	LOW	NA	1	initiator_codon_variant	low_or_modifier	likely no effect
TF_binding_site_variant	MODIFIER	1	1	TF_binding_site_variant	low_or_modifier	
conserved_intergenic_variant	MODIFIER	NA	0	intragenic_variant	low_or_modifier	
conserved_intron_variant	MODIFIER	NA	0	intron_variant	low_or_modifier	
downstream_gene_variant	MODIFIER	0	0	downstream_gene_variant	low_or_modifier	
exon_variant	MODIFIER	NA	0	exon_variant	low_or_modifier	
feature_elongation	MODIFIER	NA	0	feature_elongation	low_or_modifier	
feature_truncation	MODIFIER	NA	0	feature_truncation	low_or_modifier	
gene_variant	MODIFIER	NA	0	gene_variant	low_or_modifier	
intergenic_region	MODIFIER	0	0	intergenic_region	low_or_modifier	
intragenic_variant	MODIFIER	NA	0	intragenic_variant	low_or_modifier	
intron_variant	MODIFIER	0	0	intron_variant	low_or_modifier	
mature_miRNA_variant	MODIFIER	NA	0	mature_miRNA_variant	low_or_modifier	
miRNA	MODIFIER	NA	0	miRNA	low_or_modifier	
NMD_transcript_variant	MODIFIER	NA	0	NMD_transcript_variant	low_or_modifier	
non_coding_transcript_exon_variant	MODIFIER	0	0	non_coding_variant	low_or_modifier	
non_coding_transcript_variant	MODIFIER	NA	0	non_coding_variant	low_or_modifier	
regulatory_region_amplification	MODIFIER	NA	0	regulatory_region_amplification	low_or_modifier	
regulatory_region_variant	MODIFIER	NA	0	regulatory_region_variant	low_or_modifier	
start_retained	LOW	NA	0	synonymous_variant	low_or_modifier	similar to synonymous_variant
stop_retained_variant	LOW	NA	0	synonymous_variant	low_or_modifier	similar to synonymous_variant
synonymous_variant	LOW	0	0	synonymous_variant	low_or_modifier	similar to synonymous_variant
TFBS_amplification	MODIFIER	NA	0	TFBS_amplification	low_or_modifier	
transcript_amplification	MODIFIER	NA	0	transcript_amplification	low_or_modifier	
transcript_variant	MODIFIER	NA	0	transcript_variant	low_or_modifier	
upstream_gene_variant	MODIFIER	0	0	upstream_gene_variant	low_or_modifier	
sequence_feature	NA	NA	0	sequence_feature	low_or_modifier	
non_coding_exon_variant	NA	NA	0	non_coding_variant	low_or_modifier	
protein_protein_contact	NA	NA	0	protein_protein_contact	low_or_modifier	
structural_interaction_variant	NA	NA	0	structural_interaction_variant	low_or_modifier	
